Year,Level,Name,Image,Link,Description,Booth,Partner,PartnerLink,PartnerDescription
2024,Diamond,Island,Island-2024-Diamond.png,https://www.island.io/,"Island is the pioneer and market leader of the enterprise browser market. Island’s Enterprise Browser is the ideal enterprise workplace, where work flows freely while remaining fundamentally secure. With the core needs of the enterprise naturally embedded in the browser itself, Island gives organizations complete control, visibility, and governance over the last mile, while delivering the same smooth Chromium-based browser experience users expect, boosting both security and productivity. Led by experienced leaders of the enterprise security and browser technology space and backed by leading venture funds – Insight Partners, Sequoia Capital, Cyberstarts, Stripes, Georgian, Cisco Investments, Prysm Capital and Canapi Ventures – Island is redefining the future of work for some of the largest, most respected enterprises in the world.",19 & 20,,,
2024,Platinum,Cribl,Cribl-2024-Platinum.png,https://cribl.io/,"Cribl, the Data Engine for IT and Security, empowers organizations to transform their data strategy.  Powered by a data processing engine purpose-built for IT and Security, Cribl’s product suite is a vendor-agnostic data management solution capable of collecting data from any source, processing billions of events per second, automatically routing data for optimized storage, and analyzing any data, at any time, in any location. With Cribl, IT and Security teams have the choice, control, and flexibility required to adapt to their ever-changing data needs. Cribl’s offerings–Stream, Edge, Search, and Lake–are available either as discrete products or as a holistic solution.",21,,,
2024,Platinum,"Just Solutions, Inc.",JustSolutions-2024-Platinum.png,https://www.justinc.com/,"Just Solutions prides ourselves on always going the extra mile to help customers with all of their IT issues. For over two decades now, we’ve been the go-to company for anyone wanting to get more out of their IT. We’re a one-stop shop for networks, printers, phones, and security. By working with Just Solutions, our clients save time and money and are always ahead of the curve with their technology.",6,,,
2024,Platinum,ProArch,ProArch-2024-Platinum.png,https://www.proarch.com/?utm_campaign=2024%20Rochester%20Security%20Summit&utm_source=RSS2024&utm_medium=RSSWebsite,"Headquartered in Atlanta, Georgia, with offices in Upstate New York, ProArch is a consulting and technology firm that reimagines how technology can achieve business goals with velocity. Cybersecurity is at the core of everything we do. ProArch's cybersecurity solutions encompass both IT and OT/ICS, proactively mitigating risks and ensuring regulatory compliance. With a team of seasoned consultants and a 24/7 Security Operations Center, ProArch is committed to safeguarding our clients against cyber threats every day.",16,,,
2024,Platinum,Fortinet,Fortinet-2024-Platinum.png,https://www.fortinet.com/,"Cybersecurity, everywhere you need it. FortiOS, Fortinet’s operating system, is the foundation of the Fortinet Security Fabric, the industry’s highest-performing and most expansive cybersecurity platform, organically built on a common management and security framework. FortiOS ties all the Security Fabric’s security and networking components together to ensure seamless integration. This enables the convergence of networking and security functions to deliver a consistent user experience and resilient security posture across all manner of environments including on-premises, cloud, hybrid, and converging IT/OT/IoT infrastructure.  Stop by the Fortinet booth and say hi to your local Fortinet Upstate NY Team!",25,,,
2024,Platinum,Semperis,Semperis-2024-Platinum.png,https://www.semperis.com/,"For security teams charged with defending hybrid and multi-cloud environments, Semperis ensures the integrity and availability of critical enterprise directory services at every step in the cyber kill chain and cuts recovery time by 90%.  Purpose-built for securing hybrid identity environments—including Active Directory, Entra ID, and Okta—Semperis’ patented technology protects over 100 million identities from cyberattacks, data breaches and operational errors.",29,,,
2024,Platinum,Sumo Logic ,SumoLogic-2024-Platinum.png,https://www.sumologic.com ,"Sumo Logic helps make the digital world faster, reliable and more secure. Through its AI-powered SaaS Log Analytics Platform, organizations can unify and analyze enterprise data, translating it into actionable insights. This single source of truth enables Dev, Sec and Ops teams to simplify complexity, collaborate efficiently and accelerate data-driven decisions that drive business value.  Customers around the world rely on Sumo Logic to ingest and analyze logs, events, metrics, traces and other data sources at scale to ensure application reliability, secure and protect against modern security threats, and gain insights into their cloud infrastructures. For more information, visit www.sumologic.com",15,,,
2024,Platinum,Kudelski Security,Kudelski-2024-Platinum.png,https://kudelskisecurity.com/,"Kudelski Security is an innovative, independent provider of tailored cybersecurity solutions for large companies and public sector clients. We support our clients in the development, deployment, and administration of cybersecurity solutions through a combination of advanced managed security services, consulting, and security technologies. Kudelski Security works with organizations related to financial services, energy and utilities, retail, government, manufacturing, and software.",4,,,
2024,Platinum,Axonius,Axonius-2024-Platinum.png,https://www.axonius.com,"Axonius gives customers the confidence to control complexity by providing a system of record for all digital infrastructure. With a comprehensive understanding of all assets including devices, identities, software, SaaS applications, vulnerabilities, security controls, and the context between all assets, customers are able to mitigate threats, navigate risk, decrease incident response time, automate action, and inform business-level strategy — all while eliminating manual, repetitive tasks. Recognized as creators of the Cyber Asset Attack Surface Management (CAASM) category and innovators in SaaS Management Platform (SMP) and SaaS Security Posture Management (SSPM), Axonius is deployed in minutes and integrates with hundreds of data sources to provide a comprehensive asset inventory, uncover gaps, and automatically enforce policies and automate action. Cited as one of the fastest-growing cybersecurity companies in history, with accolades from Deloitte, CNBC, Forbes, and Fortune, the Axonius Platform covers millions of assets for customers around the world.",9,,,
2024,Platinum,Palo Alto Networks ,PaloAlto-2024-Platinum.png,https://www.paloaltonetworks.com/,"Palo Alto Networks is the global cybersecurity leader, committed to making each day safer than the one before with industry-leading, AI-powered solutions in network security, cloud security and security operations. Powered by Precision AI, our technologies deliver precise threat detection and swift response, minimizing false positives and enhancing security effectiveness. Our platformization approach integrates diverse security solutions into a unified, scalable platform, streamlining management and providing operational efficiencies with comprehensive protection. From defending network perimeters to safeguarding cloud environments and ensuring rapid incident response, Palo Alto Networks empowers businesses to achieve Zero Trust security and confidently embrace digital transformation in an ever-evolving threat landscape. This unwavering commitment to security and innovation makes us the cybersecurity partner of choice. ",12,,,
